"x","y","source","year"
-44.15,-23.05,"PMAP",2006
-44.4667,-23.05,"PMAP",2006
-44.4333,-23.0667,"PMAP",2006
-44.4667,-23.0667,"PMAP",2006
-44.5667,-23.0667,"PMAP",2006
-44.3333,-23.0833,"PMAP",2006
-44.3667,-23.0833,"PMAP",2006
-44.3833,-23.0833,"PMAP",2006
-44.4167,-23.0833,"PMAP",2006
-44.4333,-23.0833,"PMAP",2006
-44.4667,-23.0833,"PMAP",2006
-44.5,-23.0833,"PMAP",2006
-44.55,-23.0833,"PMAP",2006
-44.5667,-23.0833,"PMAP",2006
-44.5833,-23.0833,"PMAP",2006
-44.5667,-23.1,"PMAP",2006
-44.5833,-23.1,"PMAP",2006
-44.6,-23.1,"PMAP",2006
-44.6167,-23.1,"PMAP",2006
-44.5333,-23.1167,"PMAP",2006
-44.3833,-23.1333,"PMAP",2006
-44.4833,-23.1333,"PMAP",2006
-44.55,-23.1333,"PMAP",2006
-44.3333,-23.15,"PMAP",2006
-44.3833,-23.15,"PMAP",2006
-44.4667,-23.15,"PMAP",2006
-44.5,-23.15,"PMAP",2006
-44.5833,-23.15,"PMAP",2006
-44.6167,-23.15,"PMAP",2006
-44.4,-23.1667,"PMAP",2006
-44.35,-23.2333,"PMAP",2006
-44.5,-23.25,"PMAP",2006
-46.4167,-24.1667,"PMAP",2006
-45.7722,-24.255,"PMAP",2006
-46.0522,-24.2672,"PMAP",2006
-46.2911,-24.3381,"PMAP",2006
-45.9444,-24.37,"PMAP",2006
-45.9833,-24.4314,"PMAP",2006
-46.2833,-24.5833,"PMAP",2006
-46.25,-24.6667,"PMAP",2006
-46,-24.7667,"PMAP",2006
-45.2833,-24.7833,"PMAP",2006
-45.8103,-24.8739,"PMAP",2006
-47.3,-25.3,"PMAP",2006
-47.65,-25.3167,"PMAP",2006
-47.3167,-25.3333,"PMAP",2006
-47.35,-25.3333,"PMAP",2006
-47.4667,-25.3333,"PMAP",2006
-47.45,-25.3667,"PMAP",2006
-47.4833,-25.4,"PMAP",2006
-47.5,-25.4,"PMAP",2006
-48.1333,-25.4333,"PMAP",2006
-47.5167,-25.45,"PMAP",2006
-47.65,-25.5,"PMAP",2006
-47.9,-25.8333,"PMAP",2006
-47.6667,-25.9167,"PMAP",2006
-48.5333,-25.9333,"PMAP",2006
-48.35,-25.9833,"PMAP",2006
-48,-26.05,"PMAP",2006
-48.35,-26.05,"PMAP",2006
-48.3667,-26.05,"PMAP",2006
-48.3667,-26.0667,"PMAP",2006
-48.4,-26.0667,"PMAP",2006
-48.4167,-26.0833,"PMAP",2006
-48.3167,-26.1167,"PMAP",2006
-47.6,-26.1333,"PMAP",2006
-47.6833,-26.1333,"PMAP",2006
-48.1167,-26.1333,"PMAP",2006
-48.1333,-26.1333,"PMAP",2006
-48.1667,-26.1333,"PMAP",2006
-48.2333,-26.1333,"PMAP",2006
-48.3667,-26.1333,"PMAP",2006
-48.2667,-26.15,"PMAP",2006
-48.4,-26.15,"PMAP",2006
-48.3333,-26.1667,"PMAP",2006
-48.1703,-26.1694,"PMAP",2006
-48.2,-26.1833,"PMAP",2006
-48.2589,-26.1958,"PMAP",2006
-47.6167,-26.2333,"PMAP",2006
-47.8167,-26.2333,"PMAP",2006
